,Unnamed: 0,product_title,product_price,currency,product_star_rating,product_num_ratings,product_num_offers,product_minimum_offer_price,is_best_seller,is_amazon_choice,is_prime,climate_pledge_friendly,delivery,has_variations,Sales_per_last_month
204,204,"Total by Verizon Samsung Galaxy A14 5G, 64GB, Black - Prepaid Smartphone (Locked)",69.99,USD,4.1,161,1,69.99,False,False,True,False,"FREE delivery Thu, Sep 26 Or fastest delivery Tue, Sep 24 Only 13 left in stock (more on the way).",False,300.0
205,205,"Apple iPhone SE, 32GB Gray Unlocked 1st Gen 2016 ATT Tmobile",99.99,USD,3.6,232,1,99.99,False,False,False,True,FREE delivery Sep 24 - 26 Or fastest delivery Sep 23 - 25,False,100.0
206,206,X40 Unlocked 5G Cell Phones 2024 Android 13 Mobile Phones With 24MP+50MP Camera 8GB+256GB 8-Core Smartphone 6.7&quot; HD Screen 6200 mAh Long Battery smartphone Dual SIM Adnroid phone(Elegant black),99.99,USD,5.0,4,1,99.99,False,False,False,False,FREE delivery,True,50.0
207,207,SAMSUNG Galaxy S22 128 GB Green,235.9,USD,4.0,807,27,199.5,False,False,False,True,"FREE delivery Tue, Sep 24 Or fastest delivery Sat, Sep 21",True,400.0
208,208,Simple Mobile | Motorola Moto g Pure | Locked | 32GB | 4000 mAh Battery | 13 MP Dual Camera System | 6.5&quot; Max Vision HD+ Display | Blue,49.99,USD,4.2,248,1,49.99,False,False,True,False,"FREE delivery Tue, Sep 24",False,100.0
209,209,"VTech Connect to Cell DS6771-3 DECT 6.0 Cordless Phone - Black, Silver, 6.9&quot; x 4&quot; x 6.6&quot;",98.25,USD,4.1,2542,25,34.63,False,False,True,False,"FREE delivery Tue, Sep 24",False,200.0
210,210,Panasonic Expandable Cordless Phone System with Amber Backlit Display and Call Block – 1 Handset – KX-TGC350B (Black),31.49,USD,4.3,2060,21,14.19,False,False,True,False,"FREE delivery Tue, Sep 24 on $35 of items shipped by Amazon",False,100.0
211,211,"VTech IS8121-3 Super Long Range up to 2300 Feet DECT 6.0 Bluetooth 3 Handset Cordless Phone for Home with Answering Machine, Call Blocking, Connect to Cell, Intercom and Expandable to 5 Handsets",76.56,USD,4.2,4051,3,48.26,False,False,True,False,"FREE delivery Tue, Sep 24",False,300.0
212,212,"SAMSUNG Galaxy S24 Cell Phone, 256GB AI Smartphone, Unlocked Android, 50MP Camera, Fastest Processor, Long Battery Life, US Version, 2024, Cobalt Violet",859.99,USD,4.4,424,1,859.99,False,False,True,True,"FREE delivery Tue, Sep 24",False,100.0
213,213,"TEAM LUXURY for iPhone 15 Case, [Military Grade Protection] Scratch-Resistant Back, Shockproof Phone Case for iPhone 15 6.1” (Black/Black)",7.99,USD,4.8,20,1,7.99,False,False,True,True,"FREE delivery Tue, Sep 24 on $35 of items shipped by Amazon",False,50.0
214,214,"Blackview Rugged Smartphone Unlocked, 2023 BV6200 Rugged Phones, 13000mAh Battery 18W Fast Charge, Android 13, 8GB+64GB/2TB Expand, Waterproof Mobile Phones, Three Card Slots, 6.56&quot; Display, T-Mobile",169.99,USD,4.1,214,1,169.99,False,False,True,False,"FREE delivery Tue, Sep 24 Only 16 left in stock - order soon.",False,50.0
215,215,SAMSUNG Galaxy A10e GSM Unlocked (not CDMA) 32GB Smartphone - Black (Renewed),69.0,USD,3.8,1199,16,67.69,False,False,False,True,"FREE delivery Sat, Sep 21 Only 13 left in stock - order soon.",True,50.0
216,216,"VTech AM18447 Main Console 4-Line Expandable Small Business Office Phone System with Answering Machine, Intercom, Auto Attendant &amp; Music on Hold , Black",149.95,USD,4.3,1161,6,55.94,False,False,True,False,"FREE delivery Thu, Sep 26 Or fastest delivery Tue, Sep 24",False,300.0
217,217,"DOOGEE Blade 10 Ultra Rugged Smartphone, 20GB RAM+256GB ROM Rugged Phone Unlocked Android 14,6.56&#x27;&#x27;90Hz Display,50MP Camera, IP68/IP69K Waterproof Phones, Face ID/NFC/GPS/OTG",279.99,USD,5.0,14,1,279.99,False,False,True,False,"FREE delivery Tue, Sep 24",False,50.0
218,218,"VTech VS113-5 Extended Range 5 Handset Cordless Phone for Home with Call Blocking, Connect to Cell Bluetooth, 2&quot; Backlit Screen, Big Buttons, and Answering System, Silver &amp; Black",119.95,USD,4.0,1910,2,75.26,False,False,True,False,"FREE delivery Tue, Sep 24",False,100.0
219,219,"CAT S22 Rugged Flip Phone (16GB) 2.8&quot; Touchscreen Smart Cell Phone Android 11, IP68 Water Resistant, T-Mobile 4G LTE GSM Single Nano Slot,Compatible with T-Mobile(New)",64.89,USD,3.7,402,1,64.89,False,False,True,False,"FREE delivery Tue, Sep 24",False,500.0
220,220,"AT&amp;T ML17939 2-Line Corded Telephone with Digital Answering System and Caller ID/Call Waiting, Black/Silver",70.32,USD,4.3,1082,83,40.32,False,False,True,False,"FREE delivery Tue, Sep 24",False,200.0
221,221,Prepaid At&amp;T Axia 4G LTE 16GB Android 8.1 LCD 5.5&quot;,39.99,USD,3.4,362,9,28.73,False,False,True,False,"FREE delivery Fri, Sep 27 Only 2 left in stock - order soon.",False,50.0
222,222,"Panasonic Cordless Phone System, Expandable Home Phone with Call Blocking, Bilingual Caller ID and High-Contrast Display, 1 Handset - KX-TGD610B (Black)",34.49,USD,4.3,5343,12,17.24,False,False,True,False,"FREE delivery Tue, Sep 24 on $35 of items shipped by Amazon",False,100.0
223,223,"Google Pixel 4a Smartphone, 128GB Storage &amp; Unlocked Cellular - Just Black (Renewed)",130.0,USD,4.0,1204,11,109.85,False,False,False,True,"FREE delivery Sat, Sep 21 Or fastest delivery Tomorrow, Sep 20 Only 2 left in stock - order soon.",False,50.0
224,224,BLU G73 | 2023 | 3-Day Battery | Unlocked | 6.8” HD+ Infinity Display | 128/6GB | Triple 50MP Camera | US Version | US Warranty | Blue,114.99,USD,3.9,165,4,40.0,False,False,True,False,"FREE delivery Thu, Sep 26",True,0.0
225,225,"SAMSUNG Galaxy A53 5G A Series Cell Phone, Factory Unlocked Android Smartphone, 128GB, 6.5” FHD Super AMOLED Screen, Long Battery Life, US Version, Black",114.28,USD,4.3,4495,1,84.995,False,False,False,True,N/A,False,0.0
226,226,"AT&amp;T TL88102 DECT 6.0 2-Line Expandable Cordless Phone with Answering System and Dual Caller ID/Call Waiting, 1 Handset, Silver/Black",95.53,USD,4.1,836,49,38.11,False,False,True,False,"FREE delivery Tue, Sep 24",False,100.0
227,227,Moto Z4 - For Verizon - 128 GB - Flash Gray (Renewed),80.29,USD,4.2,795,8,64.57,False,False,False,True,"FREE delivery Fri, Sep 27 Or fastest delivery Tomorrow, Sep 20 Only 19 left in stock - order soon.",False,100.0
228,228,LIVELY Jitterbug Flip2 - Flip Cell Phone for Seniors - Not Compatible with Other Wireless Carriers- Must Be Activated Phone Plan- Graphite,47.99,USD,4.0,3219,11,44.34,False,False,True,False,"FREE delivery Tue, Sep 24",True,300.0
229,229,"Tracfone Samsung Galaxy A13 5G, 64GB, Black - Prepaid Smartphone (Locked)",159.99,USD,4.3,860,2,72.76,False,False,True,False,"FREE delivery Tue, Sep 24 Only 11 left in stock - order soon.",False,100.0
